fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass,Labels
10,5,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9525860896635756,0.9764347599436227,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07612571412565657,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
1,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9452747145321109,0.9738304219557318,1,1,1,1,1,1,1,0.5,0.5,0.5,1,40,0.07216197135207977,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
2,6,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9500531618537522,0.9739767179696425,1,1,1,1,1,1,1,0.375,0.375,0.375,1,43,0.07413811222341202,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.4713260073260073,1,rf,2,C3H,True
3,6,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.946907340508076,0.9766211292583934,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,43,0.07323520125265813,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.4636776556776557,1,rf,2,C3H,True
4,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9500512754838923,0.9662002390543137,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07577672355333076,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.457025641025641,1,rf,2,C3H,True
5,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9553479173237862,0.9471965651467389,1,1,1,1,1,1,1,0.5,0.5,0.5,1,40,0.0704018968739161,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
6,6,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9507714639252332,0.9666922002689632,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.08052305155371377,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
7,6,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9533895145627687,0.9847107292015924,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.06905958269997796,1,0.8548809523809524,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
8,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9483823627283654,0.9751283463549899,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.08051516009646806,1,0.8525,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
9,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9499939989597882,0.9677473675224078,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07486156696351584,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
10,6,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9564909464722585,0.9722016271426589,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,46,0.0764253812353292,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646739926739927,1,rf,2,C3H,True
1,7,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9479328052943621,0.9753940017661594,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07785883374975996,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647179487179487,1,rf,2,C3H,True
2,7,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9514846874506377,0.9555646137757401,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,41,0.07063074580893666,1,0.8502380952380953,1,1,1,1,1,1,1,1,1,0.4636923076923077,1,rf,2,C3H,True
3,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9502873877716324,0.9627990912572602,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07694658721628503,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
4,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9504160802386838,0.9672963370737111,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07406442549555309,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
5,7,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9504636953452285,0.9754223867839187,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07217831012004863,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
6,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9599189855592697,0.9475328854937338,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07469057564586935,1,0.8525,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
7,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9493022298413105,0.9688045809502338,1,1,1,1,1,1,1,0.5,0.5,0.5,1,46,0.08067514045732559,1,0.8520238095238096,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
8,7,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9518556044948236,0.9788437231442122,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07181672947654111,1,0.8552380952380954,1,1,1,1,1,1,1,1,1,0.4647179487179487,1,rf,2,C3H,True
9,7,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9470854996053453,0.9807000071756108,1,1,1,1,1,1,1,0.375,0.375,0.375,1,44,0.07605301390913884,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.47134065934065933,1,rf,2,C3H,True
10,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9471791478063509,0.978304270460251,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07343647745189569,1,0.8520238095238096,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
1,8,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.953521692311153,0.9672220087675374,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,46,0.07737884358069079,1,0.8548809523809524,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
2,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9575312092697934,0.9826119660010143,1,1,1,1,1,1,1,0.5,0.5,0.5,1,47,0.08029184499774925,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
3,8,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9502591326538429,0.9727174897143765,1,1,1,1,1,1,1,0.375,0.375,0.375,1,41,0.06988528098562374,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.4713846153846154,1,rf,2,C3H,True
4,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9467436297342485,0.969801989153426,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07411625454454904,1,0.8503571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
5,8,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9503034527265625,0.9779219154959303,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.0800063391698881,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.46474725274725276,1,rf,2,C3H,True
6,8,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9501308812313289,0.9776657987422546,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07592093623584414,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
7,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9491129529871767,0.9707269992883599,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.0749845594634376,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
8,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.950934844915654,0.9778431072506922,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07675301407056857,1,0.8491666666666667,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
9,8,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9467977854191768,0.9781224427172018,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,42,0.07327332724614756,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.46366300366300367,1,rf,2,C3H,True
10,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9558624827908052,0.9529206344679152,1,1,1,1,1,1,1,0.5,0.5,0.5,1,41,0.06707200832874657,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
1,9,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9456796460625971,0.9639955596224387,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,41,0.0736243569577568,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
2,9,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9491121398048509,0.9673571771174055,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07823860418880685,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
3,9,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9470019056587397,0.9849892349218234,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07410107787924418,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
4,9,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9535299578914439,0.9757826366576465,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.0723065053146107,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
5,9,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9510103304313265,0.9628997769944994,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07697136530929097,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
6,9,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9511112530754865,0.9705984242763772,1,1,1,1,1,1,1,0.5,0.5,0.5,1,41,0.07146206770669503,1,0.8525,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
7,9,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9482022818489464,0.9663755482215718,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,41,0.07138213492002413,1,0.8507142857142858,1,1,1,1,1,1,1,1,1,0.4636923076923077,1,rf,2,C3H,True
8,9,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9579278431400977,0.9415731203915213,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07755305630385374,1,0.8525,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
9,9,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9490647469942133,0.9811651370302472,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,43,0.07515063353532642,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
10,9,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9452586119557391,0.9666610886716365,1,1,1,1,1,1,1,0.375,0.375,0.375,1,40,0.0683753643780789,1,0.8530952380952381,1,1,1,1,1,1,1,1,1,0.47134065934065933,1,rf,2,C3H,True
1,10,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9478425812014126,0.9717384416507302,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,42,0.07335586314703407,1,0.8548809523809524,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
2,10,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9488054538407497,0.9705166564686407,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.06944155865330098,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
3,10,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.949973604055925,0.9705979683529985,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07298702668020522,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
4,10,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9492724482336383,0.9728082950867967,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,43,0.07505659983961055,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
5,10,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9488659053694938,0.9740185296252666,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,42,0.07215774016592122,1,0.8552380952380954,1,1,1,1,1,1,1,1,1,0.46473260073260075,1,rf,2,C3H,True
6,10,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9486364787302718,0.9693510031085001,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07592383935962492,1,0.8525,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
7,10,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.954706095871703,0.9640365140735032,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.08027515337750486,1,0.8503571428571429,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
8,10,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9521384943804351,0.96854504255085,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,45,0.07602364206056073,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.4637069597069597,1,rf,2,C3H,True
9,10,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9516055168059709,0.9679203501551751,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,44,0.07985763345994316,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.46366300366300367,1,rf,2,C3H,True
10,10,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9507911102758191,0.9844834498082491,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.07685504550303392,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
